DATE,TOC_mg_L,Alk_mg_L
6/18/2023,4,48
6/19/2023,4.1,50.5
6/20/2023,4.3,50.5
6/21/2023,4.4,56
6/22/2023,4.4,54.5
6/23/2023,4.2,54
6/24/2023,4.4,53.5
6/25/2023,4.3,54
6/26/2023,4.5,48
6/27/2023,4.4,47
6/28/2023,4.2,49.5
6/29/2023,4,50.5
6/30/2023,3.8,50.5
7/1/2023,3.8,50.5
7/2/2023,3.7,50.5
7/3/2023,3.6,48
7/4/2023,3.6,50.5
7/5/2023,3.5,50.5
7/6/2023,3.5,51
7/7/2023,3.4,50
7/8/2023,3.4,48.5
7/9/2023,3.4,48.5
7/10/2023,3.4,48.5
7/11/2023,3.35,47
7/12/2023,3.3,48.5
7/13/2023,3.3,49.5
7/14/2023,3.2,49.2
7/15/2023,3.2,49.5
7/16/2023,3.1,51.4
7/17/2023,3.1,53.4
7/18/2023,3,55
7/19/2023,2.9,61
7/20/2023,2.8,60
7/21/2023,2.7,59.5
7/22/2023,2.6,61
7/23/2023,2.6,60
7/24/2023,2.5,57.3
7/25/2023,2.5,55.3
7/26/2023,2.4,55.5
7/27/2023,2.4,55
7/28/2023,2.4,54.2
7/29/2023,2.4,55.3
7/30/2023,2.4,56.2
7/31/2023,2.4,58
8/1/2023,2.3,60.2
8/2/2023,2.3,55
8/3/2023,2.7,58
8/4/2023,2.9,57.5
8/5/2023,3.3,53
8/6/2023,3.3,52.5
8/7/2023,3.3,53
8/8/2023,3.1,52.5
8/9/2023,3.1,54.5
8/10/2023,2.9,55
8/11/2023,3,55
8/12/2023,2.8,56
8/13/2023,2.5,57
8/14/2023,2.5,61.5
8/15/2023,2.5,56.5
8/16/2023,2.4,55.5
8/17/2023,2.4,56.2
8/18/2023,2.4,57
8/19/2023,2.4,59
8/20/2023,2.3,58.5
8/21/2023,2.3,59
8/22/2023,2.3,59.5
8/23/2023,2.3,58
8/24/2023,2.3,60
8/25/2023,2.3,58
8/26/2023,2.3,56.5
8/27/2023,2.3,57.5
8/28/2023,2.3,56.7
8/29/2023,2.2,53.5
8/30/2023,2.2,50.5
8/31/2023,2.3,53
9/1/2023,2.3,50.8
9/2/2023,2.4,51
9/3/2023,2.2,50
9/4/2023,2.3,53
9/5/2023,2.4,55.5
9/6/2023,2.5,55.7
9/7/2023,2.4,57
9/8/2023,2.5,56.5
9/9/2023,2.4,57.5
9/10/2023,2.4,57
9/11/2023,2.4,56.25
9/12/2023,2.5,58
9/13/2023,2.4,55
9/14/2023,2.4,59
9/15/2023,2.4,54
9/16/2023,2.4,54.8
9/17/2023,2.4,53
9/18/2023,2.5,54.5
9/19/2023,2.5,53.5
9/20/2023,2.4,55
9/21/2023,2.5,53.5
9/22/2023,2.5,55.1
9/23/2023,2.5,55.7
9/24/2023,2.5,51.2
9/25/2023,2.4,57.1
9/26/2023,2.6,57.5
9/27/2023,2.6,54
9/28/2023,2.6,51.5
9/29/2023,2.6,53.5
9/30/2023,2.6,55
10/1/2023,2.7,55
10/2/2023,2.7,55.9
10/3/2023,2.75,54.9
10/4/2023,2.8,54.5
10/5/2023,2.9,50.9
10/6/2023,2.8,54
10/7/2023,2.8,56.3
10/8/2023,3,58.2
10/9/2023,3,58.2
10/10/2023,3,56
10/11/2023,3,55.4
10/12/2023,3,53.2
10/13/2023,3,55
